symbol_id	symbols
209	-%0
210	-%1
211	-%2
212	-%3
213	-%4
214	-%5
215	-%6
216	-%7
217	-%8
218	-%9
219	#%0
220	#%1
221	#%2
222	#%3
223	#%4
224	#%5
225	#%6
226	#%7
227	#%8
228	#%9
229	$%0
230	$%1
231	$%2
232	$%3
233	$%4
234	$%5
235	$%6
236	$%7
237	$%8
238	$%9
239	.%0
240	.%1
241	.%2
242	.%3
243	.%4
244	.%5
245	.%6
246	.%7
247	.%8
248	.%9
249	:%0
250	:%1
251	:%2
252	:%3
253	:%4
254	:%5
255	:%6
256	:%7
257	:%8
258	:%9
259	=%0
260	=%1
261	=%2
262	=%3
263	=%4
264	=%5
265	=%6
266	=%7
267	=%8
268	=%9
279	%01
280	%02
281	%03
282	%04
283	%05
284	%06
285	%07
286	%08
287	%09
288	%10
289	%11
290	%12
291	%13
292	%14
293	%15
294	%16
295	%17
296	%18
297	%19
298	%20
299	%21
300	%22
301	%23
302	%24
303	%25
304	%26
305	%27
306	%28
307	%29
308	%30
309	%31
310	%32
311	%33
312	%34
313	%35
314	%36
315	%37
316	%38
317	%39
318	%40
319	%41
320	%42
321	%43
322	%44
323	%45
324	%46
325	%47
326	%48
327	%49
328	%50
329	%51
330	%52
331	%53
332	%54
333	%55
334	%56
335	%57
336	%58
337	%59
338	%60
339	%61
340	%62
341	%63
342	%64
343	%65
344	%66
345	%67
346	%68
347	%69
348	%70
349	%71
350	%72
351	%73
352	%74
353	%75
354	%76
355	%77
356	%78
357	%79
358	%80
359	%81
360	%82
361	%83
362	%84
363	%85
364	%86
365	%87
366	%88
367	%89
368	%90
369	%91
370	%92
371	%93
372	%94
373	%95
374	%96
375	%97
376	%98
377	%99
445	-%0
446	-%1
447	-%2
448	-%3
449	-%4
450	-%5
451	-%6
452	-%7
453	-%8
454	-%9
455	#%0
456	#%1
457	#%2
458	#%3
459	#%4
460	#%5
461	#%6
462	#%7
463	#%8
464	#%9
465	$%0
466	$%1
467	$%2
468	$%3
469	$%4
470	$%5
471	$%6
472	$%7
473	$%8
474	$%9
475	.%0
476	.%1
477	.%2
478	.%3
479	.%4
480	.%5
481	.%6
482	.%7
483	.%8
484	.%9
485	:%0
486	:%1
487	:%2
488	:%3
489	:%4
490	:%5
491	:%6
492	:%7
493	:%8
494	:%9
495	=%0
496	=%1
497	=%2
498	=%3
499	=%4
500	=%5
501	=%6
502	=%7
503	=%8
504	=%9
515	%01
516	%02
517	%03
518	%04
519	%05
520	%06
521	%07
522	%08
523	%09
524	%10
525	%11
526	%12
527	%13
528	%14
529	%15
530	%16
531	%17
532	%18
533	%19
534	%20
535	%21
536	%22
537	%23
538	%24
539	%25
540	%26
541	%27
542	%28
543	%29
544	%30
545	%31
546	%32
547	%33
548	%34
549	%35
550	%36
551	%37
552	%38
553	%39
554	%40
555	%41
556	%42
557	%43
558	%44
559	%45
560	%46
561	%47
562	%48
563	%49
564	%50
565	%51
566	%52
567	%53
568	%54
569	%55
570	%56
571	%57
572	%58
573	%59
574	%60
575	%61
576	%62
577	%63
578	%64
579	%65
580	%66
581	%67
582	%68
